"Time","sensors.humidity","sensors.pm10","sensors.pm25"
2024-05-05 00:00:00,92,6.0,1.8
2024-05-05 01:00:00,97,4.5,1.8
2024-05-05 02:00:00,95,6.8,2.0
2024-05-05 03:00:00,96,4.1,1.6
2024-05-05 04:00:00,91,4.2,1.5
2024-05-05 05:00:00,96,3.9,1.7
2024-05-05 06:00:00,96,5.1,2.0
2024-05-05 07:00:00,97,18,7.3
2024-05-05 08:00:00,96,17,7.7
2024-05-05 09:00:00,97,4.6,2.0
2024-05-05 10:00:00,96,5.8,2.1
2024-05-05 11:00:00,98,2.1,0.76
2024-05-05 12:00:00,97,3.3,0.85
2024-05-05 13:00:00,86,2.6,0.85
2024-05-05 14:00:00,91,3.3,0.99
2024-05-05 15:00:00,85,2.4,0.83
2024-05-05 16:00:00,84,3.9,0.81
2024-05-05 17:00:00,95,2.9,0.88
2024-05-05 18:00:00,91,1.8,0.60
2024-05-05 19:00:00,97,0.86,0.48
2024-05-05 20:00:00,97,1.4,0.52
2024-05-05 21:00:00,97,2.3,1.1
2024-05-05 22:00:00,97,3.2,0.96
2024-05-05 23:00:00,97,1.8,0.74
2024-05-06 00:00:00,97,2.6,0.59
2024-05-06 01:00:00,97,1.8,0.43
2024-05-06 02:00:00,86,1.2,0.45
2024-05-06 03:00:00,97,2.5,0.63
2024-05-06 04:00:00,96,2.2,0.66
2024-05-06 05:00:00,97,3.2,0.88
2024-05-06 06:00:00,96,5.5,1.2
2024-05-06 07:00:00,95,5.2,1.3
2024-05-06 08:00:00,85,6.3,1.1
2024-05-06 09:00:00,97,3.5,0.85
2024-05-06 10:00:00,97,3.4,0.86
2024-05-06 11:00:00,96,3.8,0.88
2024-05-06 12:00:00,97,4.4,0.91
2024-05-06 13:00:00,89,4.4,1.0
2024-05-06 14:00:00,96,5.5,1.1
2024-05-06 15:00:00,86,6.6,1.3
2024-05-06 16:00:00,94,8.7,1.5
2024-05-06 17:00:00,98,9.4,1.5
2024-05-06 18:00:00,92,11,1.8
2024-05-06 19:00:00,92,12,1.9
2024-05-06 20:00:00,97,11,2.0
2024-05-06 21:00:00,97,14,2.2
2024-05-06 22:00:00,97,12,2.1
2024-05-06 23:00:00,97,13,2.1
2024-05-07 00:00:00,97,16,2.3
2024-05-07 01:00:00,97,13,2.2
2024-05-07 02:00:00,97,13,2.3
2024-05-07 03:00:00,97,13,2.3
2024-05-07 04:00:00,92,16,2.6
2024-05-07 05:00:00,92,13,2.5
2024-05-07 06:00:00,92,13,2.8
2024-05-07 07:00:00,90,17,4.3
2024-05-07 08:00:00,97,12,2.5
2024-05-07 09:00:00,97,12,2.3
2024-05-07 10:00:00,94,8.3,2.2
2024-05-07 11:00:00,95,7.5,2.0
2024-05-07 12:00:00,95,8.5,1.8
2024-05-07 13:00:00,97,8.5,2.1
2024-05-07 14:00:00,95,6.8,2.0
2024-05-07 15:00:00,91,3.9,1.5
2024-05-07 16:00:00,82,4.8,1.4
2024-05-07 17:00:00,79,1.4,0.58
2024-05-07 18:00:00,74,1.7,0.58
2024-05-07 19:00:00,81,3.4,0.82
2024-05-07 20:00:00,85,3.8,0.98
2024-05-07 21:00:00,97,8.3,1.6
2024-05-07 22:00:00,97,6.0,1.3
2024-05-07 23:00:00,97,5.1,1.1
2024-05-08 00:00:00,97,5.9,1.2
2024-05-08 01:00:00,91,5.1,1
2024-05-08 02:00:00,97,6.3,1.1
2024-05-08 03:00:00,97,7.7,1.3
2024-05-08 04:00:00,97,5.5,1.1
2024-05-08 05:00:00,97,5.8,1.1
2024-05-08 06:00:00,97,5.6,1.3
2024-05-08 07:00:00,97,6.8,1.6
2024-05-08 08:00:00,97,6.8,1.5
2024-05-08 09:00:00,97,7.2,1.6
2024-05-08 10:00:00,97,6.0,1.2
2024-05-08 11:00:00,98,3.3,0.86
2024-05-08 12:00:00,,,
2024-05-08 13:00:00,,,
2024-05-08 14:00:00,,,
2024-05-08 15:00:00,,,
2024-05-08 16:00:00,,,
2024-05-08 17:00:00,,,
2024-05-08 18:00:00,,,
2024-05-08 19:00:00,,,
2024-05-08 20:00:00,,,
2024-05-08 21:00:00,,,
2024-05-08 22:00:00,,,
2024-05-08 23:00:00,,,
2024-05-09 00:00:00,,,
2024-05-09 01:00:00,,,
2024-05-09 02:00:00,,,
2024-05-09 03:00:00,,,
2024-05-09 04:00:00,,,
2024-05-09 05:00:00,,,
2024-05-09 06:00:00,,,
2024-05-09 07:00:00,,,
2024-05-09 08:00:00,,,
2024-05-09 09:00:00,,,
2024-05-09 10:00:00,,,
2024-05-09 11:00:00,,,
2024-05-09 12:00:00,,,
2024-05-09 13:00:00,,,
2024-05-09 14:00:00,,,
2024-05-09 15:00:00,98,4.8,1.1
2024-05-09 16:00:00,96,3.7,1.2
2024-05-09 17:00:00,97,2.8,1.2
2024-05-09 18:00:00,98,5.1,1.3
2024-05-09 19:00:00,97,4.2,1.5
2024-05-09 20:00:00,97,5.0,2.0
2024-05-09 21:00:00,97,15,6.1
2024-05-09 22:00:00,97,8.5,2.8
2024-05-09 23:00:00,97,18,6.2
2024-05-10 00:00:00,97,44,14
2024-05-10 01:00:00,97,7.2,2.7
2024-05-10 02:00:00,97,7.2,2.9
2024-05-10 03:00:00,97,8.0,3.2
2024-05-10 04:00:00,96,8.0,3.2
2024-05-10 05:00:00,96,7.5,2.7
2024-05-10 06:00:00,96,11,3.3
2024-05-10 07:00:00,96,16,4.3
2024-05-10 08:00:00,97,14,4.4
